dhb,age_group,population
West Coast,90+,250
Canterbury,0 to 9,67140
Canterbury,10 to 19,71230
Canterbury,20 to 29,83700
Canterbury,30 to 39,84900
Canterbury,40 to 49,74100
Canterbury,50 to 59,76420
Canterbury,60 to 69,63400
Canterbury,70 to 79,42210
Canterbury,80 to 89,18860
Canterbury,90+,4410
South Canterbury,0 to 9,6790
South Canterbury,10 to 19,7110
South Canterbury,20 to 29,6770
South Canterbury,30 to 39,7500
South Canterbury,40 to 49,7190
South Canterbury,50 to 59,8650
South Canterbury,60 to 69,8440
South Canterbury,70 to 79,6310
South Canterbury,80 to 89,2900
South Canterbury,90+,560
Southern,0 to 9,37670
Southern,10 to 19,44290
Southern,20 to 29,50450
Southern,30 to 39,48800
Southern,40 to 49,42310
Southern,50 to 59,44920
Southern,60 to 69,40910
Southern,70 to 79,27310
Southern,80 to 89,12060
Southern,90+,2650
