dhb,report_date,age_group,count
Auckland,2020-02-26,60 to 69,1
Auckland,2020-03-16,60 to 69,1
Auckland,2020-03-17,40 to 49,1
Auckland,2020-03-17,50 to 59,1
Auckland,2020-03-18,50 to 59,1
Auckland,2020-03-19,40 to 49,2
Auckland,2020-03-19,50 to 59,2
Auckland,2020-03-20,60 to 69,1
Auckland,2020-03-21,20 to 29,2
Auckland,2020-03-21,50 to 59,2
Auckland,2020-03-22,10 to 19,1
Auckland,2020-03-22,20 to 29,2
Auckland,2020-03-22,30 to 39,1
Auckland,2020-03-22,40 to 49,1
Auckland,2020-03-22,50 to 59,1
Auckland,2020-03-22,60 to 69,2
Auckland,2020-03-23,10 to 19,2
Auckland,2020-03-23,20 to 29,3
Auckland,2020-03-23,30 to 39,1
Auckland,2020-03-23,40 to 49,1
Auckland,2020-03-24,20 to 29,2
Auckland,2020-03-24,30 to 39,4
Auckland,2020-03-24,40 to 49,1
Auckland,2020-03-25,10 to 19,1
Auckland,2020-03-25,20 to 29,4
Auckland,2020-03-25,30 to 39,3
Auckland,2020-03-25,40 to 49,1
Auckland,2020-03-25,60 to 69,1
Auckland,2020-03-25,70 to 79,1
Auckland,2020-03-26,10 to 19,1
Auckland,2020-03-26,20 to 29,4
Auckland,2020-03-26,30 to 39,4
Auckland,2020-03-26,40 to 49,2
Auckland,2020-03-26,70 to 79,1
Auckland,2020-03-27,10 to 19,1
Auckland,2020-03-27,20 to 29,1
Auckland,2020-03-27,40 to 49,2
Auckland,2020-03-27,50 to 59,1
Auckland,2020-03-27,60 to 69,1
Auckland,2020-03-27,70 to 79,1
Auckland,2020-03-28,10 to 19,3
Auckland,2020-03-28,20 to 29,2
Auckland,2020-03-28,30 to 39,5
Auckland,2020-03-28,40 to 49,1
Auckland,2020-03-28,50 to 59,1
Auckland,2020-03-28,60 to 69,3
Auckland,2020-03-29,20 to 29,1
Auckland,2020-03-29,40 to 49,4
Auckland,2020-03-29,50 to 59,2
Auckland,2020-03-29,60 to 69,2
Auckland,2020-03-30,20 to 29,1
Auckland,2020-03-30,40 to 49,1
Auckland,2020-03-30,50 to 59,1
Auckland,2020-03-31,20 to 29,4
Auckland,2020-03-31,30 to 39,1
Auckland,2020-03-31,40 to 49,2
Auckland,2020-03-31,60 to 69,1
Auckland,2020-04-01,10 to 19,1
Auckland,2020-04-01,20 to 29,1
Auckland,2020-04-01,40 to 49,1
Auckland,2020-04-01,70 to 79,1
Auckland,2020-04-02,30 to 39,2
Auckland,2020-04-02,50 to 59,1
Auckland,2020-04-03,10 to 19,1
Auckland,2020-04-03,20 to 29,1
Auckland,2020-04-03,60 to 69,1
Auckland,2020-04-04,0 to 9,1
Auckland,2020-04-04,20 to 29,4
Auckland,2020-04-04,30 to 39,1
Auckland,2020-04-04,60 to 69,2
Auckland,2020-04-04,70 to 79,1
Auckland,2020-04-05,10 to 19,2
Auckland,2020-04-05,20 to 29,2
Auckland,2020-04-05,30 to 39,1
Auckland,2020-04-05,40 to 49,1
Auckland,2020-04-05,60 to 69,3
Auckland,2020-04-06,0 to 9,2
Auckland,2020-04-06,20 to 29,2
Auckland,2020-04-06,30 to 39,1
Auckland,2020-04-06,50 to 59,1
Auckland,2020-04-07,50 to 59,2
Auckland,2020-04-08,30 to 39,2
Auckland,2020-04-08,40 to 49,1
Auckland,2020-04-08,50 to 59,1
Auckland,2020-04-09,0 to 9,2
Auckland,2020-04-09,20 to 29,4
Auckland,2020-04-09,30 to 39,1
Auckland,2020-04-09,60 to 69,2
Auckland,2020-04-09,70 to 79,1
Auckland,2020-04-09,80 to 89,1
Auckland,2020-04-10,30 to 39,1
Auckland,2020-04-10,40 to 49,1
Auckland,2020-04-10,70 to 79,1
Auckland,2020-04-10,90+,1
Auckland,2020-04-11,20 to 29,1
Auckland,2020-04-11,30 to 39,1
Auckland,2020-04-11,40 to 49,1
Auckland,2020-04-12,40 to 49,3
Auckland,2020-04-13,80 to 89,1
Auckland,2020-04-14,50 to 59,1
Auckland,2020-04-16,0 to 9,1
Auckland,2020-04-16,80 to 89,1
Auckland,2020-04-17,50 to 59,1
Auckland,2020-04-18,40 to 49,1
Auckland,2020-04-21,50 to 59,1
Auckland,2020-04-25,40 to 49,1
Auckland,2020-04-30,20 to 29,1
Auckland,2020-04-30,30 to 39,1
Auckland,2020-05-01,20 to 29,1
Auckland,2020-05-01,60 to 69,1
Auckland,2020-05-05,40 to 49,1
Auckland,2020-05-22,50 to 59,1
Auckland,2020-08-13,50 to 59,2
Auckland,2020-08-13,80 to 89,1
Auckland,2020-08-14,10 to 19,1
Auckland,2020-08-14,30 to 39,1
Auckland,2020-08-14,40 to 49,2
Auckland,2020-08-15,30 to 39,1
Auckland,2020-08-15,40 to 49,1
Auckland,2020-08-15,60 to 69,1
Auckland,2020-08-15,70 to 79,1
Auckland,2020-08-16,0 to 9,3
Auckland,2020-08-16,10 to 19,2
Auckland,2020-08-16,20 to 29,1
Auckland,2020-08-16,30 to 39,1
Auckland,2020-08-16,70 to 79,1
Auckland,2020-08-17,40 to 49,1
Auckland,2020-08-17,60 to 69,1
Auckland,2020-08-17,70 to 79,1
Auckland,2020-08-18,0 to 9,1
Auckland,2020-08-18,10 to 19,1
Auckland,2020-08-18,20 to 29,1
Auckland,2020-08-18,30 to 39,1
Auckland,2020-08-18,40 to 49,1
Auckland,2020-08-20,70 to 79,1
Auckland,2020-08-21,30 to 39,1
Auckland,2020-08-23,0 to 9,1
Auckland,2020-08-24,20 to 29,1
Auckland,2020-08-24,30 to 39,1
Auckland,2020-08-24,40 to 49,1
Auckland,2020-08-26,20 to 29,1
Auckland,2020-08-28,20 to 29,1
Auckland,2020-08-29,10 to 19,1
Auckland,2020-08-30,20 to 29,2
Auckland,2020-08-30,30 to 39,1
Auckland,2020-09-02,10 to 19,1
Auckland,2020-09-02,30 to 39,1
Auckland,2020-09-08,0 to 9,1
Auckland,2020-09-08,20 to 29,1
Auckland,2020-09-10,50 to 59,1
Auckland,2020-09-18,40 to 49,1
Auckland,2020-09-22,0 to 9,1
Auckland,2020-09-22,20 to 29,1
Auckland,2020-09-22,30 to 39,1
Auckland,2020-11-06,20 to 29,1
Auckland,2020-11-12,20 to 29,1
Auckland,2021-08-18,10 to 19,1
Auckland,2021-08-19,0 to 9,1
Auckland,2021-08-19,10 to 19,2
Auckland,2021-08-19,20 to 29,1
Auckland,2021-08-20,10 to 19,1
Auckland,2021-08-20,20 to 29,1
Auckland,2021-08-20,30 to 39,1
Auckland,2021-08-20,60 to 69,1
Auckland,2021-08-21,10 to 19,2
Auckland,2021-08-21,20 to 29,2
Auckland,2021-08-21,40 to 49,1
Auckland,2021-08-21,50 to 59,1
Auckland,2021-08-21,60 to 69,2
Auckland,2021-08-22,0 to 9,1
Auckland,2021-08-22,10 to 19,1
Auckland,2021-08-22,20 to 29,3
Auckland,2021-08-22,30 to 39,1
Auckland,2021-08-22,40 to 49,1
Auckland,2021-08-23,20 to 29,2
Auckland,2021-08-23,40 to 49,2
Auckland,2021-08-23,70 to 79,1
Auckland,2021-08-24,0 to 9,3
Auckland,2021-08-24,10 to 19,3
Auckland,2021-08-24,20 to 29,5
Auckland,2021-08-24,30 to 39,2
Auckland,2021-08-24,40 to 49,1
Auckland,2021-08-24,50 to 59,1
Auckland,2021-08-25,0 to 9,2
Auckland,2021-08-25,10 to 19,1
Auckland,2021-08-25,20 to 29,4
Auckland,2021-08-25,40 to 49,2
Auckland,2021-08-25,50 to 59,3
Auckland,2021-08-25,60 to 69,1
Auckland,2021-08-26,0 to 9,1
Auckland,2021-08-26,10 to 19,5
Auckland,2021-08-26,20 to 29,2
Auckland,2021-08-26,30 to 39,2
Auckland,2021-08-26,40 to 49,4
Auckland,2021-08-26,50 to 59,3
Auckland,2021-08-26,60 to 69,2
Auckland,2021-08-27,0 to 9,1
Auckland,2021-08-27,10 to 19,3
Auckland,2021-08-27,20 to 29,4
Auckland,2021-08-27,30 to 39,4
Auckland,2021-08-27,40 to 49,2
Auckland,2021-08-27,50 to 59,2
Auckland,2021-08-27,70 to 79,2
Auckland,2021-08-28,0 to 9,2
Auckland,2021-08-28,10 to 19,1
Auckland,2021-08-28,20 to 29,1
Auckland,2021-08-28,40 to 49,1
Auckland,2021-08-28,50 to 59,1
Auckland,2021-08-29,0 to 9,3
Auckland,2021-08-29,10 to 19,1
Auckland,2021-08-29,30 to 39,1
Auckland,2021-08-29,40 to 49,1
Auckland,2021-08-29,50 to 59,1
Auckland,2021-08-30,0 to 9,2
Auckland,2021-08-30,10 to 19,7
Auckland,2021-08-30,20 to 29,2
Auckland,2021-08-30,30 to 39,1
Auckland,2021-08-30,50 to 59,1
Auckland,2021-08-30,70 to 79,2
Auckland,2021-08-31,0 to 9,2
Auckland,2021-08-31,10 to 19,1
Auckland,2021-08-31,20 to 29,1
Auckland,2021-08-31,30 to 39,2
Auckland,2021-08-31,50 to 59,3
Auckland,2021-09-01,10 to 19,3
Auckland,2021-09-01,20 to 29,3
Auckland,2021-09-01,40 to 49,1
Auckland,2021-09-01,50 to 59,1
Auckland,2021-09-02,0 to 9,1
Auckland,2021-09-02,10 to 19,1
Auckland,2021-09-02,20 to 29,2
Auckland,2021-09-02,40 to 49,2
Auckland,2021-09-02,50 to 59,2
Auckland,2021-09-03,10 to 19,2
Auckland,2021-09-03,20 to 29,1
Auckland,2021-09-03,40 to 49,1
Auckland,2021-09-04,0 to 9,2
Auckland,2021-09-04,10 to 19,1
Auckland,2021-09-05,30 to 39,2
Auckland,2021-09-05,40 to 49,2
Auckland,2021-09-05,60 to 69,1
Auckland,2021-09-06,0 to 9,1
Auckland,2021-09-06,10 to 19,1
Auckland,2021-09-06,20 to 29,1
Auckland,2021-09-07,50 to 59,1
Auckland,2021-09-08,0 to 9,1
Auckland,2021-09-08,10 to 19,2
Auckland,2021-09-09,0 to 9,1
Auckland,2021-09-10,0 to 9,1
Auckland,2021-09-12,0 to 9,1
Auckland,2021-09-14,10 to 19,1
Auckland,2021-09-14,30 to 39,1
Auckland,2021-09-14,40 to 49,1
Auckland,2021-09-16,10 to 19,1
Auckland,2021-09-17,0 to 9,2
Auckland,2021-09-17,10 to 19,2
Auckland,2021-09-17,30 to 39,1
Auckland,2021-09-18,20 to 29,1
Auckland,2021-09-18,30 to 39,1
Auckland,2021-09-19,10 to 19,1
Auckland,2021-09-19,20 to 29,1
Auckland,2021-09-19,40 to 49,3
Auckland,2021-09-20,0 to 9,1
Auckland,2021-09-20,70 to 79,1
Auckland,2021-09-21,0 to 9,1
Auckland,2021-09-21,20 to 29,1
Auckland,2021-09-21,40 to 49,2
Auckland,2021-09-22,0 to 9,2
Auckland,2021-09-22,10 to 19,1
Auckland,2021-09-22,20 to 29,2
Auckland,2021-09-22,40 to 49,1
Auckland,2021-09-24,30 to 39,1
Auckland,2021-09-25,50 to 59,1
Auckland,2021-09-25,60 to 69,1
Auckland,2021-09-26,10 to 19,1
Auckland,2021-09-27,0 to 9,1
Auckland,2021-09-27,10 to 19,1
Auckland,2021-09-28,0 to 9,2
Auckland,2021-09-28,10 to 19,1
Auckland,2021-09-28,20 to 29,2
Auckland,2021-09-28,30 to 39,1
Auckland,2021-09-28,40 to 49,2
Auckland,2021-09-28,60 to 69,1
Auckland,2021-09-29,20 to 29,1
Auckland,2021-09-29,40 to 49,3
Auckland,2021-09-29,60 to 69,1
Auckland,2021-09-30,0 to 9,1
Auckland,2021-09-30,30 to 39,1
Auckland,2021-09-30,40 to 49,1
Auckland,2021-10-01,0 to 9,2
Auckland,2021-10-01,10 to 19,2
Auckland,2021-10-01,20 to 29,1
Auckland,2021-10-01,30 to 39,2
Auckland,2021-10-01,40 to 49,1
Auckland,2021-10-01,60 to 69,1
Auckland,2021-10-02,0 to 9,1
Auckland,2021-10-02,10 to 19,1
Auckland,2021-10-02,20 to 29,1
Auckland,2021-10-02,30 to 39,2
Auckland,2021-10-02,40 to 49,2
Auckland,2021-10-02,50 to 59,2
Auckland,2021-10-02,70 to 79,1
Auckland,2021-10-03,0 to 9,1
Auckland,2021-10-03,30 to 39,2
Auckland,2021-10-03,40 to 49,2
Auckland,2021-10-04,30 to 39,1
Auckland,2021-10-04,50 to 59,3
Auckland,2021-10-05,0 to 9,2
Auckland,2021-10-05,20 to 29,2
Auckland,2021-10-05,30 to 39,1
Auckland,2021-10-05,40 to 49,1
Auckland,2021-10-05,50 to 59,1
Auckland,2021-10-06,0 to 9,1
Auckland,2021-10-06,20 to 29,1
Auckland,2021-10-06,30 to 39,1
Auckland,2021-10-06,40 to 49,2
Auckland,2021-10-06,50 to 59,1
Auckland,2021-10-07,0 to 9,2
Auckland,2021-10-07,20 to 29,2
Auckland,2021-10-07,30 to 39,2
Auckland,2021-10-07,50 to 59,1
Auckland,2021-10-08,20 to 29,2
Auckland,2021-10-08,50 to 59,2
Auckland,2021-10-09,20 to 29,1
Auckland,2021-10-09,30 to 39,4
Auckland,2021-10-09,40 to 49,4
Auckland,2021-10-10,10 to 19,1
Auckland,2021-10-10,20 to 29,1
Auckland,2021-10-10,30 to 39,2
Auckland,2021-10-10,40 to 49,2
Auckland,2021-10-10,60 to 69,1
Auckland,2021-10-11,20 to 29,1
Auckland,2021-10-11,30 to 39,4
Auckland,2021-10-11,40 to 49,2
Auckland,2021-10-11,50 to 59,2
Auckland,2021-10-12,0 to 9,4
Auckland,2021-10-12,20 to 29,1
Auckland,2021-10-12,40 to 49,2
Auckland,2021-10-13,0 to 9,2
Auckland,2021-10-13,10 to 19,2
Auckland,2021-10-13,20 to 29,2
Auckland,2021-10-13,30 to 39,4
Auckland,2021-10-13,50 to 59,2
Auckland,2021-10-14,0 to 9,2
Auckland,2021-10-14,10 to 19,1
Auckland,2021-10-14,20 to 29,1
Auckland,2021-10-14,30 to 39,1
Auckland,2021-10-14,40 to 49,2
Auckland,2021-10-15,0 to 9,1
Auckland,2021-10-15,10 to 19,1
Auckland,2021-10-15,20 to 29,4
Auckland,2021-10-15,30 to 39,1
Auckland,2021-10-15,40 to 49,2
Auckland,2021-10-15,50 to 59,1
Auckland,2021-10-15,60 to 69,1
Auckland,2021-10-15,70 to 79,1
Auckland,2021-10-16,20 to 29,2
Auckland,2021-10-16,30 to 39,7
Auckland,2021-10-16,50 to 59,1
Auckland,2021-10-16,60 to 69,2
Auckland,2021-10-17,0 to 9,1
Auckland,2021-10-17,10 to 19,1
Auckland,2021-10-17,20 to 29,3
Auckland,2021-10-17,40 to 49,3
Auckland,2021-10-18,0 to 9,1
Auckland,2021-10-18,20 to 29,4
Auckland,2021-10-18,30 to 39,3
Auckland,2021-10-18,40 to 49,3
Auckland,2021-10-18,70 to 79,1
Auckland,2021-10-19,0 to 9,3
Auckland,2021-10-19,10 to 19,1
Auckland,2021-10-19,20 to 29,4
Auckland,2021-10-19,30 to 39,5
Auckland,2021-10-19,40 to 49,1
Auckland,2021-10-19,50 to 59,1
Auckland,2021-10-19,60 to 69,1
Auckland,2021-10-20,0 to 9,3
Auckland,2021-10-20,10 to 19,3
Auckland,2021-10-20,20 to 29,9
Auckland,2021-10-20,30 to 39,5
Auckland,2021-10-20,40 to 49,5
Auckland,2021-10-20,50 to 59,2
Auckland,2021-10-21,0 to 9,5
Auckland,2021-10-21,10 to 19,1
Auckland,2021-10-21,20 to 29,5
Auckland,2021-10-21,30 to 39,7
Auckland,2021-10-21,40 to 49,5
Auckland,2021-10-22,0 to 9,1
Auckland,2021-10-22,10 to 19,2
Auckland,2021-10-22,20 to 29,5
Auckland,2021-10-22,30 to 39,3
Auckland,2021-10-22,40 to 49,1
Auckland,2021-10-22,50 to 59,1
Auckland,2021-10-22,60 to 69,2
Auckland,2021-10-23,0 to 9,4
Auckland,2021-10-23,10 to 19,2
Auckland,2021-10-23,20 to 29,4
Auckland,2021-10-23,30 to 39,7
Auckland,2021-10-23,40 to 49,4
Auckland,2021-10-23,50 to 59,2
Auckland,2021-10-24,0 to 9,1
Auckland,2021-10-24,10 to 19,3
Auckland,2021-10-24,20 to 29,7
Auckland,2021-10-24,30 to 39,7
Auckland,2021-10-24,40 to 49,2
Auckland,2021-10-24,50 to 59,3
Auckland,2021-10-24,60 to 69,1
Auckland,2021-10-25,0 to 9,2
Auckland,2021-10-25,20 to 29,6
Auckland,2021-10-25,30 to 39,5
Auckland,2021-10-25,40 to 49,2
Auckland,2021-10-25,50 to 59,2
Auckland,2021-10-25,60 to 69,1
Auckland,2021-10-26,0 to 9,1
Auckland,2021-10-26,10 to 19,2
Auckland,2021-10-26,20 to 29,6
Auckland,2021-10-26,30 to 39,4
Auckland,2021-10-26,40 to 49,2
Auckland,2021-10-26,50 to 59,2
Auckland,2021-10-26,70 to 79,1
Auckland,2021-10-27,0 to 9,1
Auckland,2021-10-27,20 to 29,1
Auckland,2021-10-27,30 to 39,5
Auckland,2021-10-27,40 to 49,3
Auckland,2021-10-27,50 to 59,3
Auckland,2021-10-27,60 to 69,1
Auckland,2021-10-27,70 to 79,1
Auckland,2021-10-28,0 to 9,3
Auckland,2021-10-28,10 to 19,3
Auckland,2021-10-28,20 to 29,7
Auckland,2021-10-28,30 to 39,7
Auckland,2021-10-28,40 to 49,3
Auckland,2021-10-28,50 to 59,5
Auckland,2021-10-28,60 to 69,1
Auckland,2021-10-29,0 to 9,3
Auckland,2021-10-29,10 to 19,1
Auckland,2021-10-29,20 to 29,5
Auckland,2021-10-29,30 to 39,10
Auckland,2021-10-29,40 to 49,5
Auckland,2021-10-29,50 to 59,3
Auckland,2021-10-30,0 to 9,11
Auckland,2021-10-30,10 to 19,5
Auckland,2021-10-30,20 to 29,6
Auckland,2021-10-30,30 to 39,11
Auckland,2021-10-30,40 to 49,6
Auckland,2021-10-30,50 to 59,5
Auckland,2021-10-30,60 to 69,3
Auckland,2021-10-30,70 to 79,1
Auckland,2021-10-31,0 to 9,5
Auckland,2021-10-31,10 to 19,8
Auckland,2021-10-31,20 to 29,12
Auckland,2021-10-31,30 to 39,9
Auckland,2021-10-31,40 to 49,3
Auckland,2021-10-31,50 to 59,5
Auckland,2021-10-31,60 to 69,2
Auckland,2021-10-31,70 to 79,1
Auckland,2021-11-01,0 to 9,2
Auckland,2021-11-01,10 to 19,1
Auckland,2021-11-01,20 to 29,6
Auckland,2021-11-01,30 to 39,6
Auckland,2021-11-01,40 to 49,2
Auckland,2021-11-01,50 to 59,2
Auckland,2021-11-01,60 to 69,1
Auckland,2021-11-02,0 to 9,4
Auckland,2021-11-02,10 to 19,2
Auckland,2021-11-02,20 to 29,2
Auckland,2021-11-02,30 to 39,7
Auckland,2021-11-02,40 to 49,4
Auckland,2021-11-02,50 to 59,3
Auckland,2021-11-02,60 to 69,2
Auckland,2021-11-02,70 to 79,1
Auckland,2021-11-03,0 to 9,3
Auckland,2021-11-03,20 to 29,15
Auckland,2021-11-03,30 to 39,13
Auckland,2021-11-03,40 to 49,7
Auckland,2021-11-03,50 to 59,6
Auckland,2021-11-03,60 to 69,3
Auckland,2021-11-04,0 to 9,3
Auckland,2021-11-04,10 to 19,5
Auckland,2021-11-04,20 to 29,7
Auckland,2021-11-04,30 to 39,7
Auckland,2021-11-04,40 to 49,4
Auckland,2021-11-04,60 to 69,3
Auckland,2021-11-05,0 to 9,3
Auckland,2021-11-05,10 to 19,5
Auckland,2021-11-05,20 to 29,11
Auckland,2021-11-05,30 to 39,6
Auckland,2021-11-05,40 to 49,5
Auckland,2021-11-05,50 to 59,2
Auckland,2021-11-05,60 to 69,1
Auckland,2021-11-05,70 to 79,1
Auckland,2021-11-06,0 to 9,8
Auckland,2021-11-06,10 to 19,4
Auckland,2021-11-06,20 to 29,10
Auckland,2021-11-06,30 to 39,11
Auckland,2021-11-06,40 to 49,7
Auckland,2021-11-06,50 to 59,3
Auckland,2021-11-06,60 to 69,2
Auckland,2021-11-07,0 to 9,4
Auckland,2021-11-07,10 to 19,4
Auckland,2021-11-07,20 to 29,9
Auckland,2021-11-07,30 to 39,7
Auckland,2021-11-07,40 to 49,6
Auckland,2021-11-07,50 to 59,6
Auckland,2021-11-07,60 to 69,2
Auckland,2021-11-07,80 to 89,1
Auckland,2021-11-08,0 to 9,6
Auckland,2021-11-08,10 to 19,6
Auckland,2021-11-08,20 to 29,5
Auckland,2021-11-08,30 to 39,5
Auckland,2021-11-08,40 to 49,3
Auckland,2021-11-08,50 to 59,1
Auckland,2021-11-08,60 to 69,1
Auckland,2021-11-08,70 to 79,1
Auckland,2021-11-09,0 to 9,3
Auckland,2021-11-09,10 to 19,1
Auckland,2021-11-09,20 to 29,6
Auckland,2021-11-09,30 to 39,7
Auckland,2021-11-09,40 to 49,6
Auckland,2021-11-09,50 to 59,7
Auckland,2021-11-09,60 to 69,1
Auckland,2021-11-09,80 to 89,1
Auckland,2021-11-10,0 to 9,7
Auckland,2021-11-10,10 to 19,4
Auckland,2021-11-10,20 to 29,8
Auckland,2021-11-10,30 to 39,7
Auckland,2021-11-10,40 to 49,7
Auckland,2021-11-10,50 to 59,6
Auckland,2021-11-10,60 to 69,1
Auckland,2021-11-10,70 to 79,1
Auckland,2021-11-11,0 to 9,3
Auckland,2021-11-11,10 to 19,6
Auckland,2021-11-11,20 to 29,11
Auckland,2021-11-11,30 to 39,10
Auckland,2021-11-11,40 to 49,8
Auckland,2021-11-11,50 to 59,4
Auckland,2021-11-11,60 to 69,3
Auckland,2021-11-11,90+,1
Auckland,2021-11-12,0 to 9,3
Auckland,2021-11-12,10 to 19,6
Auckland,2021-11-12,20 to 29,7
Auckland,2021-11-12,30 to 39,9
Auckland,2021-11-12,40 to 49,7
Auckland,2021-11-12,50 to 59,2
Auckland,2021-11-12,60 to 69,2
Auckland,2021-11-12,70 to 79,1
Auckland,2021-11-12,80 to 89,2
Auckland,2021-11-13,0 to 9,2
Auckland,2021-11-13,10 to 19,6
Auckland,2021-11-13,20 to 29,5
Auckland,2021-11-13,30 to 39,3
Auckland,2021-11-13,40 to 49,6
Auckland,2021-11-13,50 to 59,3
Auckland,2021-11-13,60 to 69,2
Auckland,2021-11-13,70 to 79,2
Auckland,2021-11-13,80 to 89,2
Auckland,2021-11-14,0 to 9,18
Auckland,2021-11-14,10 to 19,8
Auckland,2021-11-14,20 to 29,8
Auckland,2021-11-14,30 to 39,8
Auckland,2021-11-14,40 to 49,8
Auckland,2021-11-14,50 to 59,3
Auckland,2021-11-14,60 to 69,2
Auckland,2021-11-15,0 to 9,15
Auckland,2021-11-15,10 to 19,7
Auckland,2021-11-15,20 to 29,14
Auckland,2021-11-15,30 to 39,4
Auckland,2021-11-15,40 to 49,5
Auckland,2021-11-15,50 to 59,3
Auckland,2021-11-15,60 to 69,4
Auckland,2021-11-15,70 to 79,1
Auckland,2021-11-16,0 to 9,4
Auckland,2021-11-16,10 to 19,6
Auckland,2021-11-16,20 to 29,8
Auckland,2021-11-16,30 to 39,2
Auckland,2021-11-16,40 to 49,4
Auckland,2021-11-16,60 to 69,1
Auckland,2021-11-16,70 to 79,1
Auckland,2021-11-16,80 to 89,2
Auckland,2021-11-17,0 to 9,9
Auckland,2021-11-17,10 to 19,8
Auckland,2021-11-17,20 to 29,7
Auckland,2021-11-17,30 to 39,10
Auckland,2021-11-17,40 to 49,4
Auckland,2021-11-17,50 to 59,1
Auckland,2021-11-17,60 to 69,1
Auckland,2021-11-18,0 to 9,3
Auckland,2021-11-18,10 to 19,4
Auckland,2021-11-18,20 to 29,13
Auckland,2021-11-18,30 to 39,9
Auckland,2021-11-18,40 to 49,5
Auckland,2021-11-18,50 to 59,4
Auckland,2021-11-18,60 to 69,2
Auckland,2021-11-19,0 to 9,5
Auckland,2021-11-19,10 to 19,3
Auckland,2021-11-19,20 to 29,5
Auckland,2021-11-19,30 to 39,8
Auckland,2021-11-19,40 to 49,2
Auckland,2021-11-19,60 to 69,1
Auckland,2021-11-20,0 to 9,4
Auckland,2021-11-20,10 to 19,3
Auckland,2021-11-20,20 to 29,10
Auckland,2021-11-20,30 to 39,9
Auckland,2021-11-20,40 to 49,5
Auckland,2021-11-20,50 to 59,3
Auckland,2021-11-20,60 to 69,1
Auckland,2021-11-21,0 to 9,6
Auckland,2021-11-21,10 to 19,1
Auckland,2021-11-21,20 to 29,6
Auckland,2021-11-21,30 to 39,3
Auckland,2021-11-21,50 to 59,6
Auckland,2021-11-21,60 to 69,1
Auckland,2021-11-22,0 to 9,14
Auckland,2021-11-22,10 to 19,3
Auckland,2021-11-22,20 to 29,10
Auckland,2021-11-22,30 to 39,2
Auckland,2021-11-22,40 to 49,4
Auckland,2021-11-22,50 to 59,1
Auckland,2021-11-22,60 to 69,2
Auckland,2021-11-23,0 to 9,8
Auckland,2021-11-23,10 to 19,4
Auckland,2021-11-23,20 to 29,11
Auckland,2021-11-23,30 to 39,6
Auckland,2021-11-23,40 to 49,2
Auckland,2021-11-23,50 to 59,2
Auckland,2021-11-23,60 to 69,1
Auckland,2021-11-23,70 to 79,1
Auckland,2021-11-24,0 to 9,10
Auckland,2021-11-24,10 to 19,7
Auckland,2021-11-24,20 to 29,7
Auckland,2021-11-24,30 to 39,14
Auckland,2021-11-24,40 to 49,3
Auckland,2021-11-24,50 to 59,2
Auckland,2021-11-25,0 to 9,13
Auckland,2021-11-25,10 to 19,9
Auckland,2021-11-25,20 to 29,12
Auckland,2021-11-25,30 to 39,7
Auckland,2021-11-25,40 to 49,6
Auckland,2021-11-26,0 to 9,9
Auckland,2021-11-26,10 to 19,2
Auckland,2021-11-26,20 to 29,12
Auckland,2021-11-26,30 to 39,5
Auckland,2021-11-26,40 to 49,4
Auckland,2021-11-26,60 to 69,3
Auckland,2021-11-27,0 to 9,8
Auckland,2021-11-27,10 to 19,5
Auckland,2021-11-27,20 to 29,6
Auckland,2021-11-27,30 to 39,2
Auckland,2021-11-27,40 to 49,3
Auckland,2021-11-27,50 to 59,4
Auckland,2021-11-28,0 to 9,8
Auckland,2021-11-28,10 to 19,5
Auckland,2021-11-28,20 to 29,6
Auckland,2021-11-28,30 to 39,8
Auckland,2021-11-28,40 to 49,8
Auckland,2021-11-28,50 to 59,3
Auckland,2021-11-28,70 to 79,2
Auckland,2021-11-29,0 to 9,2
Auckland,2021-11-29,20 to 29,4
Auckland,2021-11-29,30 to 39,7
Auckland,2021-11-29,40 to 49,2
Auckland,2021-11-29,60 to 69,4
Auckland,2021-11-30,0 to 9,7
Auckland,2021-11-30,10 to 19,5
Auckland,2021-11-30,20 to 29,7
Auckland,2021-11-30,30 to 39,3
Auckland,2021-11-30,40 to 49,1
Auckland,2021-12-01,0 to 9,4
Auckland,2021-12-01,10 to 19,8
Auckland,2021-12-01,20 to 29,6
Auckland,2021-12-01,30 to 39,2
Auckland,2021-12-01,40 to 49,1
Auckland,2021-12-01,70 to 79,1
Auckland,2021-12-02,0 to 9,2
Auckland,2021-12-02,10 to 19,3
Auckland,2021-12-02,20 to 29,7
Auckland,2021-12-02,30 to 39,8
Auckland,2021-12-02,40 to 49,4
Auckland,2021-12-02,50 to 59,2
Auckland,2021-12-02,60 to 69,1
Auckland,2021-12-03,0 to 9,5
Auckland,2021-12-03,10 to 19,6
Auckland,2021-12-03,20 to 29,6
Auckland,2021-12-03,30 to 39,7
Auckland,2021-12-03,40 to 49,4
Auckland,2021-12-03,50 to 59,2
Auckland,2021-12-03,60 to 69,2
Auckland,2021-12-04,0 to 9,4
Auckland,2021-12-04,10 to 19,3
Auckland,2021-12-04,20 to 29,8
Auckland,2021-12-04,30 to 39,4
Auckland,2021-12-04,40 to 49,1
Auckland,2021-12-04,50 to 59,2
Auckland,2021-12-04,70 to 79,1
Auckland,2021-12-05,0 to 9,5
Auckland,2021-12-05,10 to 19,5
Auckland,2021-12-05,20 to 29,3
Auckland,2021-12-05,30 to 39,3
Auckland,2021-12-05,40 to 49,3
